Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Selling Price,Tax 5%,Date,Time,Payment,Rating
750-67-8428,C,Yangon,Member,Female,Health and beauty,74.69,7,78.42,26.1415,05/01/2019,13:08,Ewallet,9.1
226-31-3081,B,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,16.04,3.82,08/03/2019,10:29,Cash,9.6
631-41-3108,C,Yangon,Normal,Male,Home and lifestyle,46.33,7,48.65,16.2155,03/03/2019,13:23,Credit card,7.4
123-19-1176,C,Yangon,Member,Male,Health and beauty,58.22,8,61.13,23.288,01/27/2019,20:33,Ewallet,8.4
373-73-7910,C,Yangon,Normal,Male,Sports and travel,86.31,7,90.63,30.2085,08/02/2019,10:37,Ewallet,5.3
699-14-3026,B,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,89.66,29.8865,03/25/2019,18:30,Ewallet,4.1
355-53-5943,C,Yangon,Member,Female,Electronic accessories,68.84,6,72.28,20.652,02/25/2019,14:36,Ewallet,5.8
315-22-5665,B,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,77.24,36.78,02/24/2019,11:38,Ewallet,8
665-32-9167,C,Yangon,Member,Female,Health and beauty,36.26,2,38.07,3.626,10/01/2019,17:15,Credit card,7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,57.58,8.226,02/20/2019,13:27,Credit card,5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,15.2,2.896,06/02/2019,18:07,Ewallet,4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,26.79,5.102,09/03/2019,17:03,Cash,6.8
365-64-0515,C,Yangon,Normal,Female,Electronic accessories,46.95,5,49.3,11.7375,12/02/2019,10:25,Ewallet,7.1
252-56-2699,C,Yangon,Normal,Male,Food and beverages,43.19,10,45.35,21.595,07/02/2019,16:48,Ewallet,8.2
829-34-3910,C,Yangon,Normal,Female,Health and beauty,71.38,10,74.95,35.69,03/29/2019,19:21,Cash,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,98.41,28.116,01/15/2019,16:19,Cash,4.5
656-95-9349,C,Yangon,Member,Female,Health and beauty,68.93,7,72.38,24.1255,11/03/2019,11:03,Credit card,4.6
765-26-6951,C,Yangon,Normal,Male,Sports and travel,72.61,6,76.24,21.783,01/01/2019,10:39,Credit card,6.9
329-62-1586,C,Yangon,Normal,Male,Food and beverages,54.67,3,57.4,8.2005,01/21/2019,18:00,Credit card,8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,42.32,4.03,11/03/2019,15:30,Ewallet,4.4
300-71-4605,B,Naypyitaw,Member,Male,Electronic accessories,86.04,5,90.34,21.51,02/25/2019,11:24,Ewallet,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,92.38,13.197,05/03/2019,10:40,Ewallet,5.1
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,34.86,3.32,03/15/2019,12:20,Credit card,4.4
636-48-8204,C,Yangon,Normal,Male,Electronic accessories,34.56,5,36.29,8.64,02/17/2019,11:15,Ewallet,9.9
549-59-1358,C,Yangon,Member,Male,Sports and travel,88.63,3,93.06,13.2945,02/03/2019,17:36,Ewallet,6
227-03-5010,C,Yangon,Member,Female,Home and lifestyle,52.59,8,55.22,21.036,03/22/2019,19:20,Credit card,8.5
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,35.2,1.676,08/02/2019,15:31,Cash,6.7
189-17-4241,C,Yangon,Normal,Female,Fashion accessories,87.67,2,92.05,8.767,10/03/2019,12:17,Credit card,7.7
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,92.78,22.09,01/25/2019,19:48,Cash,9.6
848-62-7243,C,Yangon,Normal,Male,Health and beauty,24.89,9,26.13,11.2005,03/15/2019,15:36,Cash,7.4
871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,98.84,23.5325,02/25/2019,19:39,Credit card,4.8
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,81.97,35.1315,01/28/2019,12:43,Cash,4.5
640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,87.97,33.512,10/01/2019,14:49,Cash,5.1
595-11-5460,C,Yangon,Normal,Male,Health and beauty,96.58,2,101.41,9.658,03/15/2019,10:12,Credit card,5.1
183-56-6882,B,Naypyitaw,Member,Female,Food and beverages,99.42,4,104.39,19.884,06/02/2019,10:42,Ewallet,7.5
232-16-2483,B,Naypyitaw,Member,Female,Sports and travel,68.12,1,71.53,3.406,07/01/2019,12:28,Ewallet,6.8
129-29-8530,C,Yangon,Member,Male,Sports and travel,62.62,5,65.75,15.655,10/03/2019,19:15,Ewallet,7
272-65-1806,C,Yangon,Normal,Female,Electronic accessories,60.88,9,63.92,27.396,01/15/2019,17:17,Ewallet,4.7
333-73-7901,B,Naypyitaw,Normal,Female,Health and beauty,54.92,8,57.67,21.968,03/23/2019,13:24,Ewallet,7.6
777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,31.63,12.048,03/03/2019,13:01,Cash,7.7
280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,91.06,4.336,01/17/2019,18:45,Ewallet,7.9
554-53-8700,B,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,58.92,5.611,02/02/2019,10:11,Cash,6.3
354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,72.58,20.736,08/02/2019,13:03,Cash,5.6
228-96-1411,B,Naypyitaw,Member,Female,Food and beverages,98.7,8,103.64,39.48,04/03/2019,20:39,Cash,7.6
617-15-4209,B,Naypyitaw,Member,Male,Health and beauty,15.37,2,16.14,1.537,03/16/2019,19:47,Cash,7.2
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,98.66,18.792,09/03/2019,18:00,Cash,9.5
370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,59.52,25.5105,02/27/2019,17:24,Credit card,8.4
727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,21.01,9.0045,06/02/2019,15:47,Ewallet,4.1
669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,19.88,5.679,10/02/2019,12:45,Credit card,8.1
574-22-5561,B,Naypyitaw,Member,Female,Fashion accessories,82.63,10,86.76,41.315,03/19/2019,17:08,Ewallet,7.9
326-78-5178,B,Naypyitaw,Member,Male,Food and beverages,91.4,7,95.97,31.99,03/02/2019,10:19,Cash,9.5
162-48-8011,C,Yangon,Member,Female,Food and beverages,44.59,5,46.82,11.1475,10/02/2019,15:10,Cash,8.5
616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,18.76,3.574,03/22/2019,14:42,Ewallet,6.5
778-71-5554,B,Naypyitaw,Member,Male,Fashion accessories,15.43,1,16.2,0.7715,01/25/2019,15:46,Credit card,6.1
